"bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
17.2374992370605,10.8249998092651,58.1989250183105,295.8203125,27.1000003814697,8.5,18.6000003814697,14.1000003814697,20.3666667938232,21.1833343505859,14.0666666030884,369,81,0,101.439598083496,224,3,7,214
18.3916664123535,15.5166664123535,53.6908874511719,480.623809814453,34.2000007629395,5.30000019073486,28.9000015258789,13.5,24.1499996185303,24.716667175293,12.9666662216187,343,74,1,95.6680908203125,210,7,14,190
17.5249996185303,15.8333330154419,51.0752716064453,555.282470703125,34.5999984741211,3.59999990463257,30.9999980926514,11.8999996185303,24.3166656494141,24.7333335876465,11.2333335876465,369,77,1,95.9479217529297,209,6,10,206
14.9333333969116,13.6000003814697,43.7299041748047,658.684448242188,33.2000007629395,2.09999990463257,31.1000003814697,8.03333377838135,23.1666679382324,23.2333335876465,7.55000019073486,1155,216,2,84.454460144043,576,24,33,567
16.1625003814697,14.8916673660278,47.5772094726562,610.387817382812,34,2.70000004768372,31.2999992370605,10.2833337783813,23.2666664123535,23.2666664123535,8.58333301544189,487,105,1,93.3378143310547,272,6,6,270
15.1166667938232,13.1499996185303,54.3388404846191,421.293090820312,28.5,4.30000019073486,24.2000007629395,9.80000019073486,19.8166656494141,20.0833339691162,9.80000019073486,925,196,1,96.0558166503906,525,8,12,525
14.5041666030884,13.5416660308838,48.363094329834,542.043518066406,30.7000007629395,2.70000004768372,28,8.41666698455811,20.783332824707,21.6333332061768,8.41666698455811,752,152,2,90.5768814086914,396,10,17,396
12.2666664123535,14.3000001907349,47.5083045959473,603.694458007812,29.7000007629395,-0.400000005960464,30.1000003814697,6.03333330154419,19.6833343505859,20.216667175293,5.73333311080933,477,83,2,80.51123046875,234,14,21,224
13.8708333969116,12.6916666030884,46.1515159606934,560.330505371094,30,2.5,27.5,7.73333358764648,20.3666667938232,21.3166656494141,7.73333358764648,817,163,3,90.3947906494141,430,12,20,430
15.2083330154419,10.8999996185303,61.9318199157715,245.095840454102,24.3999996185303,6.80000019073486,17.5999984741211,12.6999998092651,17.4500007629395,18.3500003814697,12.533332824707,400,86,1,101.462753295898,244,4,8,232
12.9416666030884,15,56.3909797668457,432.93310546875,28.3999996185303,1.79999995231628,26.6000003814697,8.53333377838135,17.8333339691162,18.783332824707,8.48333358764648,801,153,3,90.156982421875,421,12,19,418
12.8208332061768,15.908332824707,49.5586700439453,603.830444335938,31.1000003814697,-1,32.0999984741211,6.76666641235352,20.3333339691162,20.7000007629395,6.18333339691162,519,93,1,82.5688552856445,264,12,21,253
16.0125007629395,15.3583335876465,56.2576293945312,418.759674072266,30.7000007629395,3.40000009536743,27.3000011444092,11.75,20.9333343505859,21.5166664123535,11.2666664123535,522,128,1,107.931114196777,345,5,11,313
14.8249998092651,15.1999998092651,52.7777786254883,509.078918457031,31.2999992370605,2.5,28.7999992370605,8.78333377838135,20.8500003814697,21.0166664123535,8.78333377838135,899,198,1,94.9396743774414,503,9,16,503
